doi,round_2,round_1,record_id,type_of_reference,authors,title,journal_name,issn,urls,date,publisher,abstract,keywords,asreview_prior,exported_notes_1,asreview_ranking
10.1007/978-3-030-59824-2_2,1,1,14,JOUR,"['Kaneko, Yu', 'Yokoyama, Yuhei', 'Monma, Nobuyuki', 'Terashima, Yoshiki', 'Teramoto, Keiichi', 'Kishimoto, Takuya', 'Saito, Takeshi']",A Microservice-Based Industrial Control System Architecture Using Cloud and&nbsp;MEC,"Edge Computing – EDGE 2020: 4th International Conference, Held as Part of the Services Conference Federation, SCF 2020, Honolulu, HI, USA, September 18-20, 2020, Proceedings",978-3-030-59823-5,['https://doi.org/10.1007/978-3-030-59824-2_2'],2020,Springer-Verlag,"Cloud computing has been adapted for various application areas. Several research projects are underway to migrate Industrial Control Systems (ICSs) to the public cloud. Some functions of ICSs require real-time processing that is difficult to migrate to the public cloud because network latency of the internet is unpredictable. Fog computing is a new computing paradigm that could address this latency issue. In particular, Multi-access Edge Computing (MEC) is a fog computing environment integrated with the 5G network, and therefore the real-time processing requirement of ICSs could be satisfied by using MEC. In this paper, we propose a microservice-based ICS architecture using the cloud and fog computing. In the architecture, each function of an ICS is implemented as a microservice and its execution locations are determined by an algorithm minimizing the total usage fee for cloud and fog computing while satisfying the real-time processing requirement. The proposed architecture and placement algorithm are evaluated by simulation under the scenario of a virtual power plant that manages distributed energy resources. The simulation result shows the proposed placement algorithm suppresses VM usage fee while satisfying the requirement of a real-time control function.","['5G', 'Cloud', 'Fog', 'Industrial Control System', 'MEC']",0,,11
10.1007/978-3-031-18192-4_1,1,1,25,JOUR,"['Akasiadis, Charilaos', 'Iatrakis, Georgios', 'Spanoudakis, Nikolaos', 'Chalkiadakis, Georgios']",An Open MAS/IoT-Based Architecture for&nbsp;Large-Scale V2G/G2V,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection: 20th International Conference, PAAMS 2022, L'Aquila, Italy, July 13–15, 2022, Proceedings",978-3-031-18191-7,['https://doi.org/10.1007/978-3-031-18192-4_1'],2022,Springer-Verlag,"In this paper we put forward an open multi-agent systems (MAS) architecture for the important and challenging to engineer vehicle-to-grid (V2G) and grid-to-vehicle (G2V) energy transfer problem domains. To promote scalability, our solution is provided in the form of modular microservices that are interconnected using a multi-protocol Internet of Things (IoT) platform. On the one hand, the low-level modularity of Smart Grid services allows the seamless integration of different agent strategies, pricing mechanisms and algorithms; and on the other, the IoT-based implementation offers both direct applicability in real-world settings, as well as advanced analytics capabilities by enabling digital twins models for Smart Grid ecosystems. We describe our MAS/IoT-based architecture and present results from simulations that incorporate large numbers of heterogeneous Smart Grid agents, which might follow different strategies for their decision making tasks. Our framework enables the testing of various schemes in simulation mode, and can also be used as the basis for the implementation of real-world prototypes for the delivery of large-scale V2G/G2V services.","['Internet of things', 'Smart grid', 'Open multi-agent systems']",0,,7
10.1007/978-3-031-20984-0_38,1,1,27,JOUR,"['N. Toosi, Adel', 'Agarwal, Chayan', 'Mashayekhy, Lena', 'Moghaddam, Sara K.', 'Mahmud, Redowan', 'Tari, Zahir']",GreenFog: A Framework for&nbsp;Sustainable Fog Computing,"Service-Oriented Computing: 20th International Conference, ICSOC 2022, Seville, Spain, November 29 – December 2, 2022, Proceedings",978-3-031-20983-3,['https://doi.org/10.1007/978-3-031-20984-0_38'],2022,Springer-Verlag,"The alarming rate of increase in energy demand and carbon footprint of Fog environments has become a critical issue. It is, therefore, necessary to reduce the percentage of brown energy consumption in these systems and integrate renewable energy use into Fog. Renewables, however, are prone to availability fluctuations due to their variable and intermittent nature. In this paper, we propose a new Fog framework and design various optimization techniques, including linear programming optimization, linear regression estimation, and Multi-Armed Bandit (MAB) learning to optimize renewable energy use in the Fog based on a novel idea of load shaping with adaptive Quality of Service (QoS). The proposed framework, along with the optimization techniques, are tested on a real-world micro data center (Fog environment) powered by solar energy sources connected to multiple IoT devices. The results show that our proposed framework significantly reduces the difference between renewable energy generation and total energy consumption while efficiently adjusting the QoS of applications.",,0,,3
10.1007/978-3-031-44836-2_3,1,1,39,JOUR,"['Nam, T. B.', 'Khiem, H. G.', 'Triet, M. N.', 'Hong, K. V.', 'Khoa, T. D.', 'Bao, Q. T.', 'Phuc, N. T.', 'Hieu, M. D.', 'Loc, V. C. P.', 'Quy, T. L.', 'Anh, N. T.', 'Hien, Q. N.', 'Bang, L. K.', 'Trong, D. P. N.', 'Ngan, N. T. K.', 'Son, H.', 'Luong, H. H.']",SPaMeR: Securing Patient Medical Records in&nbsp;the&nbsp;Cloud - A Microservice and&nbsp;Brokerless Architecture Approach,"Web Services – ICWS 2023: 30th International Conference, Held as Part of the Services Conference Federation, SCF 2023, Honolulu, HI, USA, September 23–26, 2023, Proceedings",978-3-031-44835-5,['https://doi.org/10.1007/978-3-031-44836-2_3'],2023,Springer-Verlag,"The expansion of Internet of Things (IoT) technologies has revolutionized various sectors, one of the most critical being healthcare. The effective management of Patient Medical Records (PMRs) is an area where IoT plays a significant role, and its integration with Cloud Computing offers an enormous opportunity to enhance data accessibility, efficiency, and cost-effectiveness. However, the challenge of securing PMRs in the cloud remains a key concern. This paper introduces SPaMeR, an innovative IoT platform based on microservice and brokerless architecture, tailored to address this challenge and the specific requirements of healthcare environments. SPaMeR platform incorporates and extends the core functionalities of the IoT platform designed in our previous work - data collection, device and user management, and remote device control - while specifically addressing six critical issues for healthcare data: a) secure and reliable transmission of medical data, b) energy efficiency for healthcare devices, c) high-speed and accurate data collection from medical devices, d) robust security mechanisms to protect sensitive patient information, e) scalability to accommodate the ever-growing number of patients and medical devices, and f) compliance with healthcare data regulations and standards. To demonstrate the effectiveness and feasibility of SPaMeR, we provide a comprehensive evaluation with two distinct healthcare scenarios. Our results indicate significant improvements in the areas of data security, energy efficiency, and system scalability compared to traditional healthcare platforms.","['microservice', 'micro-service', 'Internet of Things', 'Kafka', 'brokerless', 'gRPC', 'Medical record', 'RBAC', 'Single Sign-On']",0,,9
10.1007/978-3-031-48421-6_13,1,1,44,JOUR,"['Dinga, Madalina', 'Malavolta, Ivano', 'Giamattei, Luca', 'Guerriero, Antonio', 'Pietrantuono, Roberto']",An Empirical Evaluation of&nbsp;the&nbsp;Energy and&nbsp;Performance Overhead of&nbsp;Monitoring Tools on&nbsp;Docker-Based Systems,"Service-Oriented Computing: 21st International Conference, ICSOC 2023, Rome, Italy, November 28 – December 1, 2023, Proceedings, Part I",978-3-031-48420-9,['https://doi.org/10.1007/978-3-031-48421-6_13'],2023,Springer-Verlag,"Context. Energy efficiency is gaining importance in the design of software systems, but is still marginally addressed in the area of microservice-based systems. Energy-related aspects often get neglected in favor of other software quality attributes, such as performance, service composition, maintainability, and security.Goal. The aim of this study is to identify, synthesize and empirically evaluate the energy and performance overhead of monitoring tools employed in the microservices and DevOps context.Method. We selected four representative monitoring tools in the microservices and DevOps context. These were evaluated via a controlled experiment on an open-source Docker-based microservice benchmark system.Results. The results highlight: i) the specific frequency and workload conditions under which energy consumption and performance metrics are impacted by the tools; ii) the differences between the tools; iii) the relation between energy and performance overhead.",,1,,1
10.1109/MICRO56248.2022.00040,1,1,76,JOUR,"['Khairy, Mahmoud', 'Alawneh, Ahmad', 'Barnes, Aaron', 'Rogers, Timothy G.']",SIMR: Single Instruction Multiple Request Processing for Energy-Efficient Data Center Microservices,Proceedings of the 55th Annual IEEE/ACM International Symposium on Microarchitecture,978-1-6654-6272-3,['https://doi.org/10.1109/MICRO56248.2022.00040'],2023,IEEE Press,"Contemporary data center servers process thousands of similar, independent requests per minute. In the interest of programmer productivity and ease of scaling, workloads in data centers have shifted from single monolithic processes toward a micro and nanoservice software architecture. As a result, single servers are now packed with many threads executing the same, relatively small task on different data.State-of-the-art data centers run these microservices on multi-core CPUs. However, the flexibility offered by traditional CPUs comes at an energy-efficiency cost. The Multiple Instruction Multiple Data execution model misses opportunities to aggregate the similarity in contemporary microservices. We observe that the Single Instruction Multiple Thread execution model, employed by GPUs, provides better thread scaling and has the potential to reduce frontend and memory system energy consumption. However, contemporary GPUs are ill-suited for the latency-sensitive microservice space.To exploit the similarity in contemporary microservices, while maintaining acceptable latency, we propose the Request Processing Unit (RPU). The RPU combines elements of out-of-order CPUs with lockstep thread aggregation mechanisms found in GPUs to execute microservices in a Single Instruction Multiple Request (SIMR) fashion. To complement the RPU, we also propose a SIMR-aware software stack that uses novel mechanisms to batch requests based on their predicted control-flow, split batches based on predicted latency divergence and map per-request memory allocations to maximize coalescing opportunities. Our resulting RPU system processes 5.7× more requests/joule than multi-core CPUs, while increasing single thread latency by only 1.44×.","['data center', 'GPU', 'microservices', 'SIMT']",0,,8
10.1109/MICRO56248.2022.00063,1,1,77,JOUR,"['Yahya, Jawad Haj', 'Volos, Haris', 'Bartolini, Davide B.', 'Antoniou, Georgia', 'Kim, Jeremie S.', 'Wang, Zhe', 'Kalaitzidis, Kleovoulos', 'Rollet, Tom', 'Chen, Zhirui', 'Geng, Ye', 'Mutlu, Onur', 'Sazeides, Yiannakis']",AgileWatts: An Energy-Efficient CPU Core Idle-State Architecture for Latency-Sensitive Server Applications,Proceedings of the 55th Annual IEEE/ACM International Symposium on Microarchitecture,978-1-6654-6272-3,['https://doi.org/10.1109/MICRO56248.2022.00063'],2023,IEEE Press,"User-facing applications running in modern datacenters exhibit irregular request patterns and are implemented using a multitude of services with tight latency requirements (30–250μs). These characteristics render existing energy-conserving techniques ineffective when processors are idle due to the long transition time (order of 100μs) from a deep CPU core idle power state (C-state). While prior works propose management techniques to mitigate this inefficiency, we tackle it at its root with AgileWatts (AW): a new deep CPU core C-state architecture optimized for datacenter server processors targeting latency-sensitive applications.AW drastically reduces the transition latency from deep CPU core idle power states while retaining most of their power savings based on three key ideas. First, AW eliminates the latency (several microseconds) of saving/restoring the core context when powering-off/-on the core in a deep idle state by i) implementing medium-grained power-gates, carefully distributed across the CPU core, and ii) retaining context in the power-ungated domain. Second, AW eliminates the flush latency (several tens of microseconds) of the L1/L2 caches when entering a deep idle state by keeping L1/L2 content power-ungated. A small control logic also remains ungated to serve cache coherence traffic. AW implements cache sleep-mode and leakage reduction for the power-ungated domain by lowering a core's voltage to the minimum operational level. Third, using a state-of-the-art power efficient all-digital phase-locked loop (ADPLL) clock generator, AW keeps the PLL active and locked during the idle state, cutting microseconds of wake-up latency at negligible power cost.Our evaluation with an accurate industrial-grade simulator calibrated against an Intel Skylake server shows that AW reduces the energy consumption of Memcached by up to 71% (35% on average) with &lt;1% end-to-end performance degradation. We observe similar trends for other evaluated services (MySQL and Kafka). AW's new deep C-states C6A and C6AE reduce transition-time by up to 900× as compared to the deepest existing idle state C6, while consuming only 7% and 5% of the active state (C0) power, respectively.",,0,,15
10.1109/MICRO56248.2022.00065,1,1,78,JOUR,"['Antoniou, Georgia', 'Volos, Haris', 'Bartolini, Davide B.', 'Rollet, Tom', 'Sazeides, Yiannakis', 'Yahya, Jawad Haj']",AgilePkgC: An Agile System Idle State Architecture for Energy Proportional Datacenter Servers,Proceedings of the 55th Annual IEEE/ACM International Symposium on Microarchitecture,978-1-6654-6272-3,['https://doi.org/10.1109/MICRO56248.2022.00065'],2023,IEEE Press,"Modern user-facing applications deployed in data-centers use a distributed system architecture that exacerbates the latency requirements of their constituent microservices (30–250μs). Existing CPU power-saving techniques degrade the performance of these applications due to the long transition latency (order of 100μs) to wake up from a deep CPU idle state (C-state). For this reason, server vendors recommend only enabling shallow core C-states (e.g., CC1) for idle CPU cores, thus preventing the system from entering deep package C-states (e.g., PC6) when all CPU cores are idle. This choice, however, impairs server energy proportionality since power-hungry resources (e.g., IOs, uncore, DRAM) remain active even when there is no active core to use them. As we show, it is common for all cores to be idle due to the low average utilization (e.g., 5 – 20%) of datacenter servers running user-facing applications.We propose to reap this opportunity with AgilePkgC (APC), a new package C-state architecture that improves the energy proportionality of server processors running latency-critical applications. APC implements PC1A (package C1 agile), a new deep package C-state that a system can enter once all cores are in a shallow C-state (i.e., CC1) and has a nanosecond-scale transition latency. PC1A is based on four key techniques. First, a hardware-based agile power management unit (APMU) rapidly detects when all cores enter a shallow core C-state (CC1) and triggers the system-level power savings control flow. Second, an IO Standby Mode (IOSM) places IO interfaces (e.g., PCIe, DMI, UPI, DRAM) in shallow (nanosecond-scale transition latency) low-power modes. Third, a CLM Retention (CLMR) mode rapidly reduces the CLM (Cache-and-home-agent, Last-level-cache, and Mesh network-on-chip) domain's voltage to its retention level, drastically reducing its power consumption. Fourth, APC keeps all system PLLs active in PC1A to allow nanosecond-scale exit latency by avoiding PLL re-locking overhead.Combining these techniques enables significant power savings while requiring less than 200ns transition latency, &gt;250× faster than existing deep package C-states (e.g., PC6), making PC1A practical for datacenter servers. Our evaluation based on an Intel Skylake-based server shows that APC reduces the energy consumption of Memcached by up to 41% (25% on average) with &lt;0.1% performance degradation. APC provides similar benefits for other representative workloads.",,0,,16
10.1145/3110355.3110359,1,1,102,JOUR,"['Tsiachri Renta, Pelagia', 'Sotiriadis, Stelios', 'Petrakis, Euripides G.M.']",Healthcare Sensor Data Management on the Cloud,Proceedings of the 2017 Workshop on Adaptive Resource Management and Scheduling for Cloud Computing,978-1-4503-5116-4,['https://doi.org/10.1145/3110355.3110359'],2017,Association for Computing Machinery,"The quality of medical services can be significantly improved by supporting health care procedures with new technologies such as Cloud computing and Internet of Things (IoTs). The need to monitor patient's health remotely and in real time becomes more and more a vital requirement, especially for chronic patients and elderly. In this work, we focus on the management of health care related data stored on the Cloud produced by Bluetooth low energy devices. We present a Cloud based IoT Management System that collects vital user data (e.g. cardiac pulse rate and blood oxygen saturation) on real time. Our solution enables sensor data collection and processing fast and efficient, while users such as medical personnel can subscribe to patient's data and get notifications. The system is designed based on microservices and includes a notification service for both health care providers and patients minimizing the risk of late response to emergency conditions. Alerts are produced according to predefined rules and on patient specific reaction plans. We present an experimental study where we evaluate our system based on real world sensors, while we generate a synthetic dataset for simulating thousands of users. The results are prosperous, as the system responds close to real time even under heavy loads binding to the limits of the web server that receives the service request. The heaviest workload simulates 2000 user requests (while 80 are executed concurrently) is completed in less than 13 seconds when the system deployed in a virtual machine of 2GB RAM, 1 VCPU and 20GB Disk.","['cloud computing', 'internet of things']",0,,10
10.1145/3139290,1,1,110,JOUR,"['Fokaefs, Marios', 'Barna, Cornel', 'Litoiu, Marin']",From DevOps to BizOps: Economic Sustainability for Scalable Cloud Applications,ACM Trans. Auton. Adapt. Syst.,1556-4665,['https://doi.org/10.1145/3139290'],2017-11,,"Virtualization of resources in cloud computing has enabled developers to commission and recommission resources at will and on demand. This virtualization is a coin with two sides. On one hand, the flexibility in managing virtual resources has enabled developers to efficiently manage their costs; they can easily remove unnecessary resources or add resources temporarily when the demand increases. On the other hand, the volatility of such environment and the velocity with which changes can occur may have a greater impact on the economic position of a stakeholder and the business balance of the overall ecosystem. In this work, we recognise the business ecosystem of cloud computing as an economy of scale and explore the effect of this fact on decisions concerning scaling the infrastructure of web applications to account for fluctuations in demand. The goal is to reveal and formalize opportunities for economically optimal scaling that takes into account not only the cost of infrastructure but also the revenue from service delivery and eventually the profit of the service provider. The end product is a scaling mechanism that makes decisions based on both performance and economic criteria and takes adaptive actions to optimize both performance and profitability for the system.","['Cloud computing', 'DevOps', 'self-adaptive systems', 'software engineering economics']",0,,24
10.1145/3147213.3147227,1,1,111,JOUR,"['Hasan, MD Sabbir', 'Alvares, Frederico', 'Ledoux, Thomas']",GPaaScaler: Green Energy Aware Platform Scaler for Interactive Cloud Application,Proceedings of The10th International Conference on Utility and Cloud Computing,978-1-4503-5149-2,['https://doi.org/10.1145/3147213.3147227'],2017,Association for Computing Machinery,"Recently, smart usage of renewable energy has been a hot topic in the Cloud community. In this vein, we have recently proposed the creation of green energy awareness around Interactive Cloud Applications, but in static amount of underlying resources. This paper adds to previous ones as it considers elastic underlying infrastructure, that is, we propose a PaaS solution which efficiently utilize the elasticity nature at both infrastructure and application levels, by leveraging adaptation in facing to changing condition i.e., workload burst, performance degradation, quality of energy, etc. While applications are adapted by dynamically re-configuring their service level based on performance and/or green energy availability, the infrastructure takes care of addition/removal of resources based on application's resource demand. Both adaptive behaviors are implemented in separated modules and are coordinated in a sequential manner.We validate our approach by extensive experiments and results obtained over Grid'5000 test bed. Results show that, application can reduce significant amount of brown energy consumption by 35% and daily instance hour cost by 37% compared to a baseline approach when green energy aware adaptation is considered.","['energy consumption', 'autonomic computing', 'green it', 'interactive cloud application', 'paas', 'sustainable computing.']",0,,4
10.1145/3406208,1,1,181,JOUR,"['Lin, Weiwei', 'Shi, Fang', 'Wu, Wentai', 'Li, Keqin', 'Wu, Guangxin', 'Mohammed, Al-Alas']",A Taxonomy and Survey of Power Models and Power Modeling for Cloud Servers,ACM Comput. Surv.,0360-0300,['https://doi.org/10.1145/3406208'],2020-09,,"Due to the increasing demand of cloud resources, the ever-increasing number and scale of cloud data centers make their massive power consumption a prominent issue today. Evidence reveals that the behaviors of cloud servers make the major impact on data centers’ power consumption. Although extensive research can be found in this context, a systematic review of the models and modeling methods for the entire hierarchy (from underlying hardware components to the upper-layer applications) of the cloud server is still missing, which is supposed to cover the relevant studies on physical and virtual cloud server instances, server components, and cloud applications. In this article, we summarize a broad range of relevant studies from three perspectives: power data acquisition, power models, and power modeling methods for cloud servers (including bare-metal, virtual machine (VM), and container instances). We present a comprehensive taxonomy on the collection methods of server-level power data, the existing mainstream power models at multiple levels from hardware to software and application, and commonly used methods for modeling power consumption including classical regression analysis and emerging methods like reinforcement learning. Throughout the work, we introduce a variety of models and methods, illustrating their implementation, usability, and applicability while discussing the limitations of existing approaches and possible ways of improvement. Apart from reviewing existing studies on server power models and modeling methods, we further figure out several open challenges and possible research directions, such as the study on modeling the power consumption of lightweight virtual units like unikernel and the necessity of further explorations toward empowering server power estimation/prediction with machine learning. As power monitoring is drawing increasing attention from cloud service providers (CSPs), this survey provides useful guidelines on server power modeling and can be inspiring for further research on energy-efficient data centers.","['data center', 'Cloud server', 'power consumption', 'power model', 'power modeling']",0,,17
