doi,round_2,round_1,record_id,type_of_reference,authors,title,journal_name,issn,urls,date,publisher,abstract,keywords,asreview_prior,exported_notes_1,asreview_ranking
10.1145/3423211.3425683,1,1,190,JOUR,"['Gunasekaran, Jashwant Raj', 'Thinakaran, Prashanth', 'Nachiappan, Nachiappan C.', 'Kandemir, Mahmut Taylan', 'Das, Chita R.']",Fifer: Tackling Resource Underutilization in the Serverless Era,Proceedings of the 21st International Middleware Conference,978-1-4503-8153-6,['https://doi.org/10.1145/3423211.3425683'],2020,Association for Computing Machinery,"Datacenters are witnessing a rapid surge in the adoption of serverless functions for microservices-based applications. A vast majority of these microservices typically span less than a second, have strict SLO requirements, and are chained together as per the requirements of an application. The aforementioned characteristics introduce a new set of challenges, especially in terms of container provisioning and management, as the state-of-the-art resource management frameworks, employed in serverless platforms, tend to look at microservice-based applications similar to conventional monolithic applications. Hence, these frameworks suffer from microservice agnostic scheduling and colossal container over-provisioning, especially during workload fluctuations, thereby resulting in poor resource utilization.In this work, we quantify the above shortcomings using a variety of workloads on a multi-node cluster managed by the Kubernetes and Brigade serverless framework. To address them, we propose Fifer — an adaptive resource management framework to efficiently manage function-chains on serverless platforms. The key idea is to make Fifer (i) utilization conscious by efficiently bin packing jobs to fewer containers using function-aware container scaling and intelligent request batching, and (ii) at the same time, SLO-compliant by proactively spawning containers to avoid cold-starts, thus minimizing the overall response latency. Combining these benefits, Fifer improves container utilization and cluster-wide energy consumption by 4× and 31%, respectively, without compromising on SLO's, when compared to the state-of-the-art schedulers employed by serverless platforms.","['scheduling', 'serverless', 'resource-management', 'queuing']",0,,13
10.1145/3511094,1,1,234,JOUR,"['Muralidhar, Rajeev', 'Borovica-Gajic, Renata', 'Buyya, Rajkumar']","Energy Efficient Computing Systems: Architectures, Abstractions and Modeling to Techniques and Standards",ACM Comput. Surv.,0360-0300,['https://doi.org/10.1145/3511094'],2022-09,,"Computing systems have undergone a tremendous change in the last few decades with several inflexion points. While Moore’s law guided the semiconductor industry to cram more and more transistors and logic into the same volume, the limits of instruction-level parallelism (ILP) and the end of Dennard’s scaling drove the industry towards multi-core chips. More recently, we have entered the era of domain-specific architectures (DSA) and chips for new workloads like artificial intelligence (AI) and machine learning (ML). These trends continue, arguably with other limits, along with challenges imposed by tighter integration, extreme form factors and increasingly diverse workloads, making systems more complex to architect, design, implement and optimize from an energy efficiency perspective. Energy efficiency has now become a first order design parameter and constraint across the entire spectrum of computing devices.Many research surveys have gone into different aspects of energy efficiency techniques implemented in hardware and microarchitecture across devices, servers, HPC/cloud, data center systems along with improved software, algorithms, frameworks, and modeling energy/thermals. Somewhat in parallel, the semiconductor industry has developed techniques and standards around specification, modeling/simulation, benchmarking and verification of complex chips; these areas have not been addressed in detail by previous research surveys. This survey aims to bring these domains holistically together, present the latest in each of these areas, highlight potential gaps and challenges, and discuss opportunities for the next generation of energy efficient systems. The survey is composed of a systematic categorization of key aspects of building energy efficient systems - (1) specification - the ability to precisely specify the power intent, attributes or properties at different layers (2) modeling and simulation of the entire system or subsystem (hardware or software or both) so as to be able to experiment with possible options and perform what-if analysis, (3) techniques used for implementing energy efficiency at different levels of the stack, (4) verification techniques used to provide guarantees that the functionality of complex designs are preserved, and (5) energy efficiency benchmarks, standards and consortiums that aim to standardize different aspects of energy efficiency, including cross-layer optimizations.","['dynamic power management', 'Energy efficiency', 'low power', 'low power optimizations', 'modeling', 'platform-level power management', 'specification']",0,,2
10.1145/3520304.3533997,1,1,238,JOUR,"['Khalloof, Hatem', 'Ciftci, Sergen', 'Shahoud, Shadi', 'Duepmeier, Clemens', 'Foerderer, Kevin', 'Hagenmeyer, Veit']",Facilitating the hybridization of parallel evolutionary algorithms in cluster computing environments,Proceedings of the Genetic and Evolutionary Computation Conference Companion,978-1-4503-9268-6,['https://doi.org/10.1145/3520304.3533997'],2022,Association for Computing Machinery,"Evolutionary Algorithms (EAs) need domain-specific adaptations for achieving better results, tend to converge to suboptimal solutions and are computationally expensive when they are applied to complex and large-scale optimization problems. For addressing these challenges, hybridizing EAs with other algorithms and methods and parallelizing them in cluster computing environments represent essential solutions. In the present paper, a new software solution for supporting the hybridizations of parallel EAs is proposed. Unlike other software solutions for hybridizing EAs, the proposed software solution provides a flexible, generic and scalable mechanism for integrating any algorithmic approach like a Machine Learning (ML) algorithm to seed the initial population of parallel EAs. It is designed based on three modern software technologies, namely microservices, container virtualization and the publish/subscribe messaging paradigm. The applicability and generality of the presented software solution is tested by hybridizing the General Learning Evolutionary Algorithm and Method (GLEAM) with ML techniques for solving the problem of scheduling Distributed Energy Resources (DERs). The benchmarking tests are performed in a cluster computing environment. The obtained results show that the new software solution represents a successful approach to facilitate the hybridization of parallel EAs paving the road for future applications of EAs in several domains.","['microservice', 'scalability', 'container', 'global model', 'hybrid evolutionary algorithms', 'parallel computing', 'parallel evolutionary algorithms', 'scheduling distributed energy resources', 'virtualization']",0,,22
10.1145/3528535.3565242,1,1,247,JOUR,"['Zandberg, Koen', 'Baccelli, Emmanuel', 'Yuan, Shenghao', 'Besson, Frédéric', 'Talpin, Jean-Pierre']",Femto-containers: lightweight virtualization and fault isolation for small software functions on low-power IoT microcontrollers,Proceedings of the 23rd ACM/IFIP International Middleware Conference,978-1-4503-9340-9,['https://doi.org/10.1145/3528535.3565242'],2022,Association for Computing Machinery,"Low-power operating system runtimes used on IoT microcontrollers typically provide rudimentary APIs, basic connectivity and, sometimes, a (secure) firmware update mechanism. In contrast, on less constrained hardware, networked software has entered the age of serverless, microservices and agility. With a view to bridge this gap, in the paper we design Femto-Containers, a new middleware runtime which can be embedded on heterogeneous low-power IoT devices. Femto-Containers enable the secure deployment, execution and isolation of small virtual software functions on low-power IoT devices, over the network. We implement Femto-Containers, and provide integration in RIOT, a popular open source IoT operating system. We then evaluate the performance of our implementation, which was formally verified for fault-isolation, guaranteeing that RIOT is shielded from logic loaded and executed in a Femto-Container. Our experiments on various popular micro-controller architectures (Arm Cortex-M, ESP32 and RISC-V) show that Femto-Containers offer an attractive trade-off in terms of memory footprint overhead, energy consumption, and security.","['security', 'IoT', 'middleware', 'container', 'function-as-a-service', 'low-power', 'microcontroller', 'virtual machine']",0,,18
10.1145/3565010.3569065,1,1,258,JOUR,"['Tootaghaj, Diman Zad', 'Mercian, Anu', 'Adarsh, Vivek', 'Sharifian, Mehrnaz', 'Sharma, Puneet']",SmartNICs at edge for transient compute elasticity,Proceedings of the 3rd International Workshop on Distributed Machine Learning,978-1-4503-9922-7,['https://doi.org/10.1145/3565010.3569065'],2022,Association for Computing Machinery,"This paper proposes a new architecture that strategically harvests the untapped compute capacity of the SmartNICs to offload transient microservices workload spikes, thereby reducing the SLA violations while providing better performance/energy consumption. This is particularly important for ML workloads at Edge deployments with stringent SLA requirements. Usage of the untapped compute capacity is more favorable than deploying extra servers, as SmartNICs are economically and operationally more desirable. We propose Spike-Offload, a low-cost and scalable platform that leverages machine learning to predict the spikes and orchestrates seamless offloading of generic microservices workloads to the SmartNICs, eliminating the need for pre-deploying expensive host servers and their under-utilization. Our SpikeOffload evaluation shows that SLA violations can be reduced by up to 20% for specific workloads. Furthermore, we demonstrate that for specific workloads our approach can potentially reduce capital expenditure (CAPEX) by more than 40%. Also, performance per unit energy consumption can be improved by upto 2X.","['edge', 'serverless computing', 'application offload', 'SmartNIC']",0,,20
10.1145/3575693.3575710,1,1,269,JOUR,"['Switzer, Jennifer', 'Marcano, Gabriel', 'Kastner, Ryan', 'Pannuto, Pat']",Junkyard Computing: Repurposing Discarded Smartphones to Minimize Carbon,"Proceedings of the 28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",978-1-4503-9916-6,['https://doi.org/10.1145/3575693.3575710'],2023,Association for Computing Machinery,"1.5 billion smartphones are sold annually, and most are decommissioned less than two years later. Most of these unwanted smartphones are neither discarded nor recycled but languish in junk drawers and storage units. This computational stockpile represents a substantial wasted potential: modern smartphones have increasingly high-performance and energy-efficient processors, extensive networking capabilities, and a reliable built-in power supply. This project studies the ability to reuse smartphones as ""junkyard computers."" Junkyard computers grow global computing capacity by extending device lifetimes, which supplants the manufacture of new devices. We show that the capabilities of even decade-old smartphones are within those demanded by modern cloud microservices and discuss how to combine phones to perform increasingly complex tasks. We describe how current operation-focused metrics do not capture the actual carbon costs of compute. We propose Computational Carbon Intensity—a performance metric that balances the continued service of older devices with the superlinear runtime improvements of newer machines. We use this metric to redefine device service lifetime in terms of carbon efficiency. We develop a cloudlet of reused Pixel 3A phones. We analyze the carbon benefits of deploying large, end-to-end microservice-based applications on these smartphones. Finally, we describe system architectures and associated challenges to scale to cloudlets with hundreds and thousands of smartphones.","['cloud computing', 'sustainability', 'life cycle assessment']",0,,23
10.1145/3620665.3640413,1,1,306,JOUR,"['Mahapatra, Rohan', 'Ghodrati, Soroush', 'Ahn, Byung Hoon', 'Kinzer, Sean', 'Wang, Shu-Ting', 'Xu, Hanyang', 'Karthikeyan, Lavanya', 'Sharma, Hardik', 'Yazdanbakhsh, Amir', 'Alian, Mohammad', 'Esmaeilzadeh, Hadi']",In-Storage Domain-Specific Acceleration for Serverless Computing,"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",979-8-4007-0385-0,['https://doi.org/10.1145/3620665.3640413'],2024,Association for Computing Machinery,"While (I) serverless computing is emerging as a popular form of cloud execution, datacenters are going through major changes: (II) storage dissaggregation in the system infrastructure level and (III) integration of domain-specific accelerators in the hardware level. Each of these three trends individually provide significant benefits; however, when combined the benefits diminish. On the convergence of these trends, the paper makes the observation that for serverless functions, the overhead of accessing dissaggregated storage overshadows the gains from accelerators. Therefore, to benefit from all these trends in conjunction, we propose In-Storage Domain-Specific Acceleration for Serverless Computing (dubbed DSCS-Serverless1). The idea contributes a server-less model that utilizes a programmable accelerator embedded within computational storage to unlock the potential of acceleration in disaggregated datacenters. Our results with eight applications show that integrating a comparatively small accelerator within the storage (DSCS-Serverless) that fits within the storage's power constraints (25 Watts), significantly outperforms a traditional disaggregated system that utilizes NVIDIA RTX 2080 Ti GPU (250 Watts). Further, the work highlights that disaggregation, serverless model, and the limited power budget for computation in storage device require a different design than the conventional practices of integrating microprocessors and FPGAs. This insight is in contrast with current practices of designing computational storage devices that are yet to address the challenges associated with the shifts in datacenters. In comparison with two such conventional designs that use ARM cores or a Xilinx FPGA, DSCS-Serverless provides 3.7× and 1.7× end-to-end application speedup, 4.3× and 1.9× energy reduction, and 3.2× and 2.3× better cost efficiency, respectively.","['serverless computing', 'accelerator', 'computational storage drive (CSD)', 'deep neural network (DNN)', 'disaggregated datacenter', 'domain specific architecture (DSA)', 'in-storage acceleration', 'large language model (LLM)', 'neural processing unit (NPU)', 'serverless function', 'storage systems']",0,,19
10.1145/3624486.3624504,1,1,312,JOUR,"['Chochliouros, Ioannis P.', 'Pages-Montanera, Enric', 'Alcázar-Fernández, Aitor', 'Zahariadis, Theodore', 'Velivassaki, Terpsichori-Helen', 'Skianis, Charalabos', 'Rossini, Rosaria', 'Belesioti, Maria', 'Drosos, Nikolaos', 'Bakiris, Emmanouil', 'Pedholla, Prashanth Kumar', 'Karkazis, Panagiotis', 'Samal, Astik Kumar', 'Contreras Murillo, Luis Miguel', 'Del Río, Alberto', 'Serrano, Javier', 'Skias, Dimitrios', 'Segou, Olga E.', 'Waechter, Sonja']",NEMO: Building the Next Generation Meta Operating System,"Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum",979-8-4007-0835-0,['https://doi.org/10.1145/3624486.3624504'],2023,Association for Computing Machinery,"Artificial Intelligence of Things (AIoT) is one of the next big concepts to support societal changes and economic growth, being one of the fastest growing ICT segments. A specific challenge is to leverage existing technology strengths to develop solutions that sustain the European industry and values. The ongoing ΝΕΜΟ (“Next Generation Meta-Operating System”) EU-funded project intends to establish itself as the “game changer” of the AIoT-Edge-Cloud continuum by introducing an open source, modular and cybersecure meta-operating system, leveraging on existing technologies and introducing novel concepts, methods, tools, testing and engagement campaigns.NEMO will bring intelligence closer to the data and make AI-as-a-Service an integral part of network self-organisation and micro-services execution orchestration. Its widespread penetration and massive acceptance will be achieved via new technology, pre-commercial exploitation components and liaison with open-source communities.By defining a modular and adaptable mOS (meta-OS) architecture together with building blocks and plugins the project will “address” current and future technological and business needs.","['Artificial Intelligence of Things', 'Meta Operating system', 'The Cloud-to-Thing continuum: opportunities and challenges']",0,,25
10.1145/3629527.3651844,1,1,319,JOUR,"[""D'Angelo, Andrea"", ""d'Aloisio, Giordano""]",Grammar-Based Anomaly Detection of Microservice Systems Execution Traces,Companion of the 15th ACM/SPEC International Conference on Performance Engineering,979-8-4007-0445-1,['https://doi.org/10.1145/3629527.3651844'],2024,Association for Computing Machinery,"Microservice architectures are a widely adopted architectural pattern for large-scale applications. Given the large adoption of these systems, several works have been proposed to detect performance anomalies starting from analysing the execution traces. However, most of the proposed approaches rely on machine learning (ML) algorithms to detect anomalies. While ML methods may be effective in detecting anomalies, the training and deployment of these systems as been shown to be less efficient in terms of time, computational resources, and energy required.In this paper, we propose a novel approach based on Context-free grammar for anomaly detection of microservice systems execution traces. We employ the SAX encoding to transform execution traces into strings. Then, we select strings encoding anomalies, and for each possible anomaly, we build a Context-free grammar using the Sequitur grammar induction algorithm. We test our approach on two real-world datasets and compare it with a Logistic Regression classifier. We show how our approach is more effective in terms of training time of 15 seconds with a minimum loss in effectiveness of 5% compared to the Logistic Regression baseline.","['anomaly detection', 'context-free grammar', 'execution traces', 'micro service system']",0,,21
10.1145/3634814.3634838,1,1,325,JOUR,"['Kawalkar, Shreyash N']",Geo-Intelligent Architecture for Smart Grid Evolution: Addressing Contemporary Challenges through Spatial AI and Knowledge Integration,Proceedings of the 2023 4th Asia Service Sciences and Software Engineering Conference,979-8-4007-0853-4,['https://doi.org/10.1145/3634814.3634838'],2024,Association for Computing Machinery,"This research explores the challenges of contemporary Smart Grid (SG) technology products and proposes a novel methodology to address them. Through a comprehensive survey, we identified common hurdles SG technologies face, especially with the rapid evolution of technology and the expansion of energy sector assets. Central to our methodology is the development of a conceptual architecture that is adaptive, scalable, and optimized for complex data management. Key features of this architecture include a Modular Architecture with Micro-Services, Serverless 2.0 for Scalability, and the integration of Knowledge Graphs for enhanced data-driven decision-making. At the heart of these solutions lies the synthesis of geospatial intelligence via Geo-Spatial AI and the use of cognitive mapping to bridge micro-services with energy assets, to ensure the grid's responsive adjustment to dynamic energy landscapes. By synthesizing advanced AI technologies and geospatial mapping techniques, our approach promises a leap in efficiency, adaptability, and accuracy for future Smart Grid platforms.","['AI in Modern Energy Infrastructures', 'AI Solutions for Smart Grid Technology Challenges', 'Cognitive Mapping of Micro Services to Energy Assets', 'Context aware Energy Management System', 'Geo Intelligent Software Architecture', 'Knowledge Graph Embedded AI', 'Streamlined Smart Grid Assets and Data Management']",0,,6
10.1145/3652620.3688266,1,1,346,JOUR,"['Aissat, Sara', 'Beaulieu, Jonathan', 'Bordeleau, Francis', 'Gascon-Samson, Julien', 'Poirier, Erik A.', 'Motamedi, Ali']",JuNo-OPS: A DevOps Framework for the Engineering of Digital Twins for Built Assets,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,979-8-4007-0622-6,['https://doi.org/10.1145/3652620.3688266'],2024,Association for Computing Machinery,"Digital Twins (DT) constitute complex software systems that need to be continuously modified/updated to meet evolving user requirements and priorities, and support continual improvement. Because they aim at monitoring and improving different system aspects, their development requires the collaboration of people from different domains of expertise, e.g. the development of a DT for built assets may involve the collaboration of experts in software engineering, thermal comfort, air quality, and energy consumption, etc. Consequently, DTs need to be engineered to enable the fast and secure integration and deployment of new code, the systematic and iterative evolution of their components, and the independent development of different system aspects by those experts.In this paper, we present JuNo-OPS, a DevOps framework for the engineering of DTs for built assets. The framework is being developed, tested and validated in the the context of a multi-function room at École de Technologie Supérieure (ETS). We focus on two main facets of the DT software: the microservices architecture; and the DevOps infrastructure used to support the development, continuous integration, continuous delivery and the automation thereof. We also discuss challenges and next steps related to the development and evolution of the framework.","['digital twins', 'microservices', 'DevOps', 'IoT', 'CI/CD pipelines']",0,,5
10.1145/3674734,1,1,368,JOUR,"['Antoniou, Georgia', 'Bartolini, Davide', 'Volos, Haris', 'Kleanthous, Marios', 'Wang, Zhe', 'Kalaitzidis, Kleovoulos', 'Rollet, Tom', 'Li, Ziwei', 'Mutlu, Onur', 'Sazeides, Yiannakis', 'Haj Yahya, Jawad']",Agile C-states: A Core C-state Architecture for Latency Critical Applications Optimizing both Transition and Cold-Start Latency,ACM Trans. Archit. Code Optim.,1544-3566,['https://doi.org/10.1145/3674734'],2024-11,,"Latency-critical applications running in modern datacenters exhibit irregular request arrival patterns and are implemented using multiple services with strict latency requirements (30–250μs). These characteristics render existing energy-saving idle CPU sleep states ineffective due to the performance overhead caused by the state’s transition latency. Besides the state transition latency, another important contributor to the performance overhead of sleep states is the cold-start latency, or in other words, the time required to warm up the microarchitectural state (e.g., cache contents, branch predictor metadata) that is flushed or discarded when transitioning to a lower-power state. Both the transition latency and cold-start latency can be particularly detrimental to the performance of latency critical applications with short execution times. While prior work focuses on mitigating the effects of transition and cold-start latency by optimizing request scheduling, in this work we propose a redesign of the core C-state architecture for latency-critical applications. In particular, we introduce C6Awarm, a new Agile core C-state that drastically reduces the performance overhead caused by idle sleep state transition latency and cold-start latency while maintaining significant energy savings. C6Awarm achieves its goals by (1) implementing medium-grained power gating, (2) preserving the microarchitectural state of the core, and (3) keeping the clock generator and PLL active and locked. Our analysis for a set of microservices based on an Intel Skylake server shows that C6Awarm manages to reduce the energy consumption by up to 70% with limited performance degradation (at most 2%).","['microservices', 'datacenters', 'Power management', 'C-states', 'idle states']",0,,14
10.1145/3715700,1,1,398,JOUR,"['Yang, Yihong', 'Zhou, Zhangbing', 'Shu, Lei', 'Zhou, Feng', 'Gaaloul, Walid', 'Khan, Arif Ali']",Web 3.0-Enabled Microservice Re-Scheduling for Heterogenous Resources Co-Optimization in Metaverse-Integrated Edge Networks,ACM Trans. Auton. Adapt. Syst.,1556-4665,['https://doi.org/10.1145/3715700'],2025-01,,"The Web 3.0 and metaverse can empower intelligent application of Connected Autonomous Vehicles (CAVs). The adoption of edge computing can contribute to the low latency interaction between CAVs and the metaverse. Microservices are widely deployed on edge networks and the cloud nowadays. User's requests from CAVs are typically fulfilled through the composition of microservices, which may be hosted by contiguous edge nodes. Requests may differ on their required resources at runtime. Consequently, when requests are continuously injected into edge networks, the usage of heterogenous resources, including CPU, memory, and network bandwidth, may not be the same, or differ significantly, on certain edge nodes. This happens especially when burst requests are injected into the network to be satisfied concurrently. Therefore, the usage of heterogenous resources provided by edge nodes should be co-optimized through re-scheduling microservices. To address this challenge, this paper proposes a Web 3.0-enabled Microservice Re-Scheduling approach (called MRS), which is a migration-based mechanism integrating a placement strategy. Specifically, we formulate the microservice re-scheduling task as a multi-objective and multi-constraint optimization problem, which can be solved through a penalty signal-integrated framework and an improved pointer network. Extensive experiments are conducted on two real-world datasets. Evaluation results show that our MRS performs better than the counterparts with improvements of at least 7.7%, 2.4% and 2.2% in terms of network throughput, latency and energy consumption.","['Connected Autonomous Vehicles (CAVs)', 'Heterogenous Resources Co-Optimization', 'Metaverse', 'Microservice Re-Scheduling', 'Web 3.0']",0,,12
